0 	23342020662 	4 	2, 3, 3420, 20662
1 	23342121662 	5 	2, 3, 34, 212, 1662
2 	2334200200662 	5 	2, 3, 34, 200, 200662
3 	1 	1 	1
4 	123 	3 	1, 2, 3
5 	321 	2 	3, 21
6 	11 	1 	11
7 	111 	2 	1, 11
8 	1111 	2 	1, 111
9 	223043 	3 	22, 30, 43
10 	33616382 	4 	33, 61, 63, 82
11 	43727677 	4 	43, 72, 76, 77
12 	123456789 	9 	1, 2, 3, 4, 5, 6, 7, 8, 9
13 	987654321 	3 	9, 87, 654321
14 	9876543210 	4 	9, 87, 654, 3210
15 	1023456789 	5 	10, 23, 45, 67, 89
16 	2000010000 	1 	2000010000
17 	1000020000 	2 	10000, 20000
18 	9080706050 	2 	9080, 706050
19 	1222222221 	4 	1, 2, 222, 22221
20 	1222222223 	5 	1, 2, 22, 222, 223
21 	5463728191 	5 	54, 63, 72, 81, 91
22 	223138576279 	6 	22, 31, 38, 57, 62, 79
23 	9119291321331341 	6 	9, 119, 291, 321, 331, 341
24 	123456789101112131415 	15 	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
25 	103456789101112131415 	7 	10, 34, 56, 78, 910, 11121, 31415
26 	100000000000000000000123456789123456789123456789 	2 	10000000000000000000012, 3456789123456789123456789
27 	162086 	4 	1, 6, 20, 86
28 	234883 	5 	2, 3, 4, 8, 83
29 	993485 	3 	9, 93, 485
30 	4315388 	4 	4, 31, 53, 88
31 	12277590 	5 	1, 2, 27, 75, 90
32 	17368287 	5 	1, 7, 36, 82, 87
33 	96937745 	3 	9, 693, 7745
34 	400002770 	1 	400002770
35 	2229316195 	5 	22, 29, 31, 61, 95
36 	2539406179 	6 	2, 5, 39, 40, 61, 79
37 	4198822419 	4 	4, 19, 88, 22419
38 	74562578447 	4 	7, 45, 625, 78447
39 	326589614864 	5 	3, 26, 58, 96, 14864
40 	850805290204 	4 	8, 50, 805, 290204
41 	2934238371377 	6 	2, 9, 34, 238, 371, 377
42 	37706514606512 	5 	3, 7, 70, 651, 4606512
43 	118197252504975 	6 	1, 18, 197, 252, 504, 975
44 	220009653057100 	3 	2, 200096, 53057100
45 	6656969229814531 	6 	6, 65, 69, 692, 2981, 4531
46 	45124306072830842 	6 	4, 5, 12, 430, 607, 2830842
47 	149247630076000000 	7 	1, 4, 9, 24, 76, 300, 76000000
48 	391924415882839299 	10 	3, 9, 19, 24, 41, 58, 82, 83, 92, 99
49 	424427430624645940 	7 	4, 24, 42, 74, 306, 2464, 5940
50 	437368244825898219 	6 	4, 37, 368, 2448, 2589, 8219
51 	7862813932515284277 	7 	7, 8, 62, 81, 393, 2515, 284277
52 	79600296067039034753 	6 	7, 9, 600, 2960, 6703, 9034753
53 	986706576404440034080 	5 	9, 86, 7065, 7640, 4440034080 
